2026-08-15 00:16:44 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 1/2: LibreTranslate: bad request 400
2026-08-15 00:16:45 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 2/2: LibreTranslate: bad request 400
2026-08-15 00:16:47 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 1/2: LibreTranslate: bad request 400
2026-08-15 00:16:48 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 2/2: LibreTranslate: bad request 400
2026-08-15 00:16:50 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 1/2: LibreTranslate: bad request 400
2026-08-15 00:16:51 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 2/2: LibreTranslate: bad request 400
2026-08-15 00:16:52 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 1/2: LibreTranslate: bad request 400
2026-08-15 00:16:53 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 2/2: LibreTranslate: bad request 400
2026-08-15 00:16:55 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 1/2: LibreTranslate: bad request 400
2026-08-15 00:16:56 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 2/2: LibreTranslate: bad request 400
2026-08-15 00:18:55 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 1/2: LibreTranslate: bad request 400
2026-08-15 00:18:56 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 2/2: LibreTranslate: bad request 400
2026-08-15 00:18:59 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 1/2: LibreTranslate: bad request 400
2026-08-15 00:19:00 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 2/2: LibreTranslate: bad request 400
2026-08-15 00:19:01 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 1/2: LibreTranslate: bad request 400
2026-08-15 00:19:03 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 2/2: LibreTranslate: bad request 400
2026-08-15 00:19:04 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 1/2: LibreTranslate: bad request 400
2026-08-15 00:19:05 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 2/2: LibreTranslate: bad request 400
2026-08-15 00:19:06 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 1/2: LibreTranslate: bad request 400
2026-08-15 00:19:07 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 2/2: LibreTranslate: bad request 400
2026-08-15 00:19:08 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:291 | Provider 'libretranslate' hit rate limit: LibreTranslate: rate limit exceeded. Shifting to fallback.
2026-08-15 00:21:41 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 1/2: LibreTranslate: bad request 400
2026-08-15 00:21:42 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 2/2: LibreTranslate: bad request 400
2026-08-15 00:21:44 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 1/2: LibreTranslate: bad request 400
2026-08-15 00:21:46 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 2/2: LibreTranslate: bad request 400
2026-08-15 00:21:47 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 1/2: LibreTranslate: bad request 400
2026-08-15 00:21:49 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 2/2: LibreTranslate: bad request 400
2026-08-15 00:21:50 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 1/2: LibreTranslate: bad request 400
2026-08-15 00:21:51 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 2/2: LibreTranslate: bad request 400
